rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,UA,RU,OTHER
126,spotify:track:56wSomSllGESHGhcfHrvEw,"Okean Elzy, Odyn v Kanoe",Місто весни,"ТОВ ""Суперсиметрія""",41,134,48,37318,UA,0,0
127,spotify:track:1tkHHqMZaVoNtQvC32Om8X,"ONIMXRU, STRAWANGLE",PSYCHO CRUISE,ONIMXRU x STRAWANGLE,127,131,6,37285,0,RU,0
128,spotify:track:4Dvkj6JhhA12EX05fT7y2e,Harry Styles,As It Was,Columbia,32,127,40,37226,0,0,OTHER
129,spotify:track:3NjAwkM75GH3cvfV9zRtv8,BUSHIDO ZHO,vodila,cplus,1,111,27,37179,0,RU,0
130,spotify:track:0fLampmh4qsOLGitXM171a,PLOHOYPAREN,Таблетка,И.С.Б,26,116,49,37161,0,RU,0
131,spotify:track:0cCXLN9eUn6dmAgDPpZaJV,jockii druce,шо ви браття,3761125 Records DK,11,139,43,37151,UA,0,0
132,spotify:track:1IcR6RlgvDczfvoWJSSY2A,Andy Williams,It's the Most Wonderful Time of the Year,Columbia/Legacy,19,178,9,37039,0,0,OTHER
133,spotify:track:6Ox1rvlwEpB49drasQm6RF,Lil Peep,Star Shopping,Lil Peep,53,120,128,36860,0,0,OTHER
134,spotify:track:5qKLAXmy19fE0Z9vRbLFhz,"Sasha Chemerov, Boombox",Любила,Sasha Chemerov,64,133,41,36842,UA,0,0
135,spotify:track:0SzgZTPTdQyBzDKvrq8VlR,ENLEO,веди мене в храм,SADNESS RCRDS,95,95,6,36796,UA,0,0
136,spotify:track:3khEEPRyBeOUabbmOPJzAG,Kenshi Yonezu,KICK BACK,Sony Music Labels Inc.,114,146,12,36790,0,0,OTHER
137,spotify:track:3gtOXzaB4v6CFeQcIIS6JP,Artem Pivovarov,Ой на горі,BEST MUSIC,65,162,25,36768,UA,0,0
138,spotify:track:7EkWXAI1wn8Ii883ecd9xr,Surf Curse,Freaks,Surf Curse,45,141,89,36762,0,0,OTHER
139,spotify:track:33aN03SdPY7SyO7jAWMTwc,INSTASAMKA,BALANCE,NaMneCash Music,46,184,14,36595,0,RU,0
140,spotify:track:5RBOcBpJXaNnHCGViJmYhh,Mareux,The Perfect Girl,Revolution Records,79,114,12,36563,0,0,OTHER
141,spotify:track:6HMk2bFT4VkIWwIAmDCqHj,"Poshlaya Molly, HOFMANNITA",#HABIBATI,DROPBLED,8,124,13,36515,0,RU,0
142,spotify:track:4jvw60Iw8LpSRJwy1sOmoB,Шайни,Yeyo!,Mansion Music,7,151,47,36296,0,RU,0
143,spotify:track:7lQ8MOhq6IN2w8EYcFNSUk,Eminem,Without Me,Aftermath,94,137,31,36293,0,0,OTHER
144,spotify:track:7GFeKobpFEF8PmecVHgJ3X,LAUD,2 дні,ENJOY! Records,55,140,42,35846,UA,0,0
145,spotify:track:2zHLOJoeSs3OpW8aR19AuS,uglystephan,Хэллоу Китти,Mansion Music,23,126,7,35627,0,RU,0
146,spotify:track:4ZhLYdmhWdPTZcnAy9SZZO,ПОЛМАТЕРИ,ярче звёзд,"Streaming Club, under exclusive license to Rhymes Music Inc.",12,164,35,35619,0,RU,0
147,spotify:track:6NePBUCeIGqfnIQag5crC0,Jerry Heil,КОЗАЦЬКОМУ_РОДУ,Jerry Heil,85,136,6,35406,UA,0,0
148,spotify:track:0JqA8n5VF8GzM36YPyeKPE,Boombox,Люди,"\""melomania\"" Llc",76,147,39,35364,UA,0,0
149,spotify:track:5Z8YDahqRCzMQRwKZPk5dC,"Big Baby Tape, kizaru",Million,KISS KOALA,2,130,63,35347,0,RU,0
150,spotify:track:7jg52iX5YV4aZSsHu30Mb6,Oxxxymiron,THE STORY OF ALISHER,Oxxxymiron,17,63,3,35238,0,RU,0
151,spotify:track:4oMyggIzClkOcCTvotFLkP,Ghostface Playa,Why Not,Ghostface Playa,62,150,36,35109,0,0,OTHER
152,spotify:track:4FyesJzVpA39hbYvcseO2d,Lil Uzi Vert,Just Wanna Rock,Generation Now/Atlantic,124,158,7,34923,0,0,OTHER
153,spotify:track:49uZPm1sSQPcJmN1TnbXij,KRBK,24,KRBK,96,161,31,34852,UA,0,0
154,spotify:track:0O3TZYgwaRadNprRONZ7iX,PROBASS ∆ HARDI,Доброго вечора - Where Are You From,Comp Music,20,175,45,34697,UA,0,0
155,spotify:track:7bvl0wSkJ7AzfbXwRGJDSy,"LIL KRYSTALLL, Лоя (5sta Family)",Я БУДУ,LIL KRYSTALLL,6,117,11,34674,0,RU,0
156,spotify:track:3QCAlpFtKHG9boarQDZnar,Мосты,Морозы,Most Label,70,93,3,34481,UA,0,0
157,spotify:track:7KmbiagSkUbepU88x7NWjb,Kordhell,Scopin,Kordhell,157,160,3,34368,0,0,OTHER
158,spotify:track:67FofomixTvg50qMzivHOq,"Artem Pivovarov, NK",Там у тополі,BEST MUSIC,97,172,7,34340,UA,0,0
159,spotify:track:3JtqmQTqsJBt6bd6iVtlaI,Epolets,Зраджуй,Epolets,25,159,29,34311,UA,0,0
160,spotify:track:0K5arhAxYWj7QxFhpKJe6z,ooes,последнее лето,rabstvo,115,115,2,34286,0,RU,0
161,spotify:track:1n7AVWNbLx5OUhItzDTj4A,Jerry Heil,#ПОШТА,Secret Service Digital & Publishing LTD,34,166,40,34285,UA,0,0
162,spotify:track:7wCmS9TTVUcIhRalDYFgPy,Pixies,Where Is My Mind? - Remastered,4AD,128,145,16,34232,0,0,OTHER
