rank,track_name,artist_names,streams,URL,,,,UA,RU,OTHER
182,LAMBO URUS,Egor Kreed,20569,https://open.spotify.com/track/6m7QUKRStA95DXM4IS8eFD,,,,0,RU,0
183,Live Another Day,Kordhell,20490,https://open.spotify.com/track/34lfu3S4fIcKZRNXzbdbo7,,,,0,0,OTHER
184,Кид Кади,Scally Milano,20366,https://open.spotify.com/track/5jryefNsWX0TvFZBAIGlJs,,,,0,RU,0
185,Нервы,Нервы,20340,https://open.spotify.com/track/70qbqCW6z92WESMZC1opsd,,,,0,RU,0
186,Кино,MACAN,20280,https://open.spotify.com/track/7q8jzypmJPGTsph168wWjt,,,,0,RU,0
187,ФИТИЛЬ,3TERNITY,20254,https://open.spotify.com/track/1YADTnjt9bhRYc2Qm6ymDn,,,,0,RU,0
188,Я з україни,Мері,20190,https://open.spotify.com/track/2hTwzEEN5XJGJzKjOYLbYa,,,,UA,0,0
189,Нету интереса,10AGE,20171,https://open.spotify.com/track/1nINIHobpPWexRP8ABH8bT,,,,0,RU,0
190,AVOID ME,KUTE,20139,https://open.spotify.com/track/5FX30idriKlEIRYTxpNf65,,,,0,0,OTHER
191,Abu Dhabi Ba6y,Платина,20133,https://open.spotify.com/track/3Qo7FF0WmgEt3JG3B2qngy,,,,0,RU,0
192,Я вижу боль в твоих глазах,fem.love,20116,https://open.spotify.com/track/0j0L6f2bHI2Nv4EzsGty2P,,,,0,RU,0
193,Blinding Lights,The Weeknd,20080,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b,,,,0,0,OTHER
194,Погоди,DSPRITE,19975,https://open.spotify.com/track/5sJt5rmSaKTQyAymKx6e1W,,,,0,RU,0
195,INCOMING,MC ORSEN,19963,https://open.spotify.com/track/4h3KlpOEXS6FxIpab6EKlf,,,,0,0,OTHER
196,LIPSI HA,INSTASAMKA,19934,https://open.spotify.com/track/54ZhPL5soHKDxg9a5wizPv,,,,0,RU,0
197,vertigo,rizza,19923,https://open.spotify.com/track/4xzhgoj3ED4N1tx5JRvHFm,,,,0,RU,0
198,Файна (feat. Skofka),KALUSH,19905,https://open.spotify.com/track/3EkGH0yreaWUFAXBil8rmH,,,,UA,0,0
199,Твоё имя,Midix,19794,https://open.spotify.com/track/3pnDtR95ry9g3eq7XmOcGg,,,,0,RU,0
200,Young Kid,IVOXYGEN,19776,https://open.spotify.com/track/7kXNWZbHd8ojf6H08XMdtC,,,,0,0,OTHER
